ma_id,trial_id,claimed_a,claimed_b,claimed_c,claimed_union,truth_d1,truth_d2,truth_d3,tp_at_d3,fp_at_d3,fn_at_d3,tn_at_d3,confidence_layer_m,confidence_layer_t,source_lines
bozzani-2022-pharmacoeconomics,ASPIRE,False,False,False,False,True,True,True,False,False,True,False,high,high,pmc-PMC10085926-full-text-background;pmc-PMC10085926-full-text-results-other-prep
bozzani-2022-pharmacoeconomics,HPTN_083,False,False,False,False,True,False,False,False,False,False,True,high,high,pmc-PMC10085926-full-text-background
bozzani-2022-pharmacoeconomics,HPTN_084,False,False,False,False,True,True,True,False,False,True,False,high,high,pmc-PMC10085926-full-text-background
bozzani-2022-pharmacoeconomics,RING_STUDY,False,False,False,False,True,True,True,False,False,True,False,high,high,pmc-PMC10085926-full-text-background;pmc-PMC10085926-full-text-results-other-prep
chen-2023-rev-med-virol,HPTN_083,False,False,False,False,True,False,False,False,False,False,True,high,high,chen-2023-rev-med-virol-abstract
chen-2023-rev-med-virol,HPTN_084,False,False,False,False,True,True,True,False,False,True,False,high,high,chen-2023-rev-med-virol-abstract
chou-2023-jama,HPTN_083,False,False,False,False,True,False,False,False,False,False,True,high,high,chou-2023-jama-abstract
chou-2023-jama,HPTN_084,False,False,False,False,True,True,True,False,False,True,False,high,high,chou-2023-jama-abstract
ebrahim-2026-cochrane-db-syst-rev,PURPOSE_1,False,True,True,True,True,True,True,True,False,False,False,high,high,ebrahim-2026-cochrane-db-syst-rev-table-characteristics;ebrahim-2026-cochrane-db-syst-rev-abstract;ebrahim-2026-cochrane-db-syst-rev-fulltext-methods;ebrahim-2026-cochrane-db-syst-rev-fulltext-discussion
ebrahim-2026-cochrane-db-syst-rev,PURPOSE_2,False,True,True,True,True,False,False,False,True,False,False,high,high,ebrahim-2026-cochrane-db-syst-rev-table-characteristics;ebrahim-2026-cochrane-db-syst-rev-abstract;ebrahim-2026-cochrane-db-syst-rev-fulltext-methods;ebrahim-2026-cochrane-db-syst-rev-fulltext-discussion
erlwanger-2024-eclinicalmedicine,ASPIRE,False,True,True,True,True,True,True,True,False,False,False,high,high,erlwanger-2024-eclinicalmedicine-methods;erlwanger-2024-eclinicalmedicine-results-table1;erlwanger-2024-eclinicalmedicine-results-text
erlwanger-2024-eclinicalmedicine,RING_STUDY,False,True,True,True,True,True,True,True,False,False,False,high,high,erlwanger-2024-eclinicalmedicine-methods;erlwanger-2024-eclinicalmedicine-results-table1;erlwanger-2024-eclinicalmedicine-results-text
fonner-2023-aids,HPTN_083,False,True,True,True,True,False,False,False,True,False,False,high,high,fonner-2023-aids-table1;fonner-2023-aids-results-hiv-infection
fonner-2023-aids,HPTN_084,False,True,True,True,True,True,True,True,False,False,False,high,high,fonner-2023-aids-table1;fonner-2023-aids-results-hiv-infection
garratt-2025-aids,ASPIRE,False,False,False,False,True,True,True,False,False,True,False,high,high,garratt-2025-aids-abstract
garratt-2025-aids,HPTN_083,False,False,False,False,True,False,False,False,False,False,True,high,high,garratt-2025-aids-abstract
garratt-2025-aids,HPTN_084,False,False,False,False,True,True,True,False,False,True,False,high,high,garratt-2025-aids-abstract
garratt-2025-aids,MTN_025_HOPE,False,False,False,False,True,True,True,False,False,True,False,high,high,garratt-2025-aids-abstract
garratt-2025-aids,PURPOSE_1,False,False,False,False,True,True,True,False,False,True,False,high,high,garratt-2025-aids-abstract
garratt-2025-aids,PURPOSE_2,False,False,False,False,True,False,False,False,False,False,True,high,high,garratt-2025-aids-abstract
garratt-2025-aids,RING_STUDY,False,False,False,False,True,True,True,False,False,True,False,high,high,garratt-2025-aids-abstract
jasper-2025-bmc-infect-dis,HPTN_084,False,True,True,True,True,True,True,True,False,False,False,high,high,jasper-2025-bmc-infect-dis-results-data-extraction
